"Year of registration","Males","Females"
1992,271732,286581
1993,279302,299210
1994,266829,284951
1995,272709,293193
1996,269825,293182
1997,266164,291888
1998,264202,289233
1999,263166,290366
2000,256698,281179
2001,253608,278890
2002,254390,280966
2003,254433,284718
2004,245208,269042
2005,243870,269123
2006,240888,261711
2007,240787,263265
2008,243014,266076
2009,238062,253286
2010,237916,255326
2011,234660,249707
2012,240238,259093
2013,245585,261205
2014,245142,256282
2015,257207,272448
2016,257811,267237
2017,262678,270575
2018,267960,273629
2019,265300,265541
2020,308069,299853
2021,297989,288345
2022,292064,285096
2023,295416,285947
2024,289726,278887
