theme,sub_theme,topic,geography_type,geography,metric,sex,age,stratum,year,date,metric_value,in_reporting_delay_period
immunisation,childhood-vaccines,4-in-1,Nation,Northern Ireland,4-in-1_coverage_coverageByYear,all,all,5y,2025,2025-03-31,86.3000,False
immunisation,childhood-vaccines,6-in-1,Nation,Northern Ireland,6-in-1_coverage_coverageByYear,all,all,5y,2025,2025-03-31,94.6000,False
immunisation,childhood-vaccines,Hib-MenC,Nation,Northern Ireland,Hib-MenC_coverage_coverageByYear,all,all,5y,2025,2025-03-31,93.1000,False
immunisation,childhood-vaccines,MMR1,Nation,Northern Ireland,MMR1_coverage_coverageByYear,all,all,5y,2025,2025-03-31,93.8000,False
immunisation,childhood-vaccines,MMR2,Nation,Northern Ireland,MMR2_coverage_coverageByYear,all,all,5y,2025,2025-03-31,86.4000,False
immunisation,childhood-vaccines,4-in-1,Nation,Northern Ireland,4-in-1_coverage_coverageByYear,all,all,5y,2024,2024-03-31,85.9900,False
immunisation,childhood-vaccines,6-in-1,Nation,Northern Ireland,6-in-1_coverage_coverageByYear,all,all,5y,2024,2024-03-31,94.4800,False
immunisation,childhood-vaccines,Hib-MenC,Nation,Northern Ireland,Hib-MenC_coverage_coverageByYear,all,all,5y,2024,2024-03-31,92.8300,False
immunisation,childhood-vaccines,MMR1,Nation,Northern Ireland,MMR1_coverage_coverageByYear,all,all,5y,2024,2024-03-31,93.3400,False
immunisation,childhood-vaccines,MMR2,Nation,Northern Ireland,MMR2_coverage_coverageByYear,all,all,5y,2024,2024-03-31,85.6400,False
immunisation,childhood-vaccines,4-in-1,Nation,Northern Ireland,4-in-1_coverage_coverageByYear,all,all,5y,2023,2023-03-31,88.3100,False
immunisation,childhood-vaccines,6-in-1,Nation,Northern Ireland,6-in-1_coverage_coverageByYear,all,all,5y,2023,2023-03-31,95.6200,False
immunisation,childhood-vaccines,Hib-MenC,Nation,Northern Ireland,Hib-MenC_coverage_coverageByYear,all,all,5y,2023,2023-03-31,93.6400,False
immunisation,childhood-vaccines,MMR1,Nation,Northern Ireland,MMR1_coverage_coverageByYear,all,all,5y,2023,2023-03-31,94.1900,False
immunisation,childhood-vaccines,MMR2,Nation,Northern Ireland,MMR2_coverage_coverageByYear,all,all,5y,2023,2023-03-31,87.9100,False
immunisation,childhood-vaccines,4-in-1,Nation,Northern Ireland,4-in-1_coverage_coverageByYear,all,all,5y,2022,2022-03-31,89.7100,False
immunisation,childhood-vaccines,6-in-1,Nation,Northern Ireland,6-in-1_coverage_coverageByYear,all,all,5y,2022,2022-03-31,96.6900,False
immunisation,childhood-vaccines,Hib-MenC,Nation,Northern Ireland,Hib-MenC_coverage_coverageByYear,all,all,5y,2022,2022-03-31,94.9600,False
immunisation,childhood-vaccines,MMR1,Nation,Northern Ireland,MMR1_coverage_coverageByYear,all,all,5y,2022,2022-03-31,95.3600,False
immunisation,childhood-vaccines,MMR2,Nation,Northern Ireland,MMR2_coverage_coverageByYear,all,all,5y,2022,2022-03-31,89.3600,False
immunisation,childhood-vaccines,4-in-1,Nation,Northern Ireland,4-in-1_coverage_coverageByYear,all,all,5y,2021,2021-03-31,90.7000,False
immunisation,childhood-vaccines,6-in-1,Nation,Northern Ireland,6-in-1_coverage_coverageByYear,all,all,5y,2021,2021-03-31,97.0900,False
immunisation,childhood-vaccines,Hib-MenC,Nation,Northern Ireland,Hib-MenC_coverage_coverageByYear,all,all,5y,2021,2021-03-31,95.3000,False
immunisation,childhood-vaccines,MMR1,Nation,Northern Ireland,MMR1_coverage_coverageByYear,all,all,5y,2021,2021-03-31,95.9800,False
immunisation,childhood-vaccines,MMR2,Nation,Northern Ireland,MMR2_coverage_coverageByYear,all,all,5y,2021,2021-03-31,89.9900,False
immunisation,childhood-vaccines,4-in-1,Nation,Northern Ireland,4-in-1_coverage_coverageByYear,all,all,5y,2020,2020-03-31,91.8900,False
immunisation,childhood-vaccines,6-in-1,Nation,Northern Ireland,6-in-1_coverage_coverageByYear,all,all,5y,2020,2020-03-31,96.8600,False
